,news,link
20,Deprem şiddeti skalası 12'ye kadar.... Maraş 11'i gördü,news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3Lm1lbXVybGFyLm5ldC9oYWJlci8xMDU2MDgxL2RlcHJlbS1zaWRkZXRpLXNrYWxhc2ktMTIteWUta2FkYXItbWFyYXMtMTEtaS1nb3JkdS5odG1s0gFlaHR0cHM6Ly93d3cubWVtdXJsYXIubmV0L2hhYmVyLzEwNTYwODEvZGVwcmVtLXNpZGRldGktc2thbGFzaS0xMi15ZS1rYWRhci1tYXJhcy0xMS1pLWdvcmR1Lmh0bWw_YW1wPTE?hl=tr&gl=TR&ceid=TR%3Atr
21,Hatay'da 5.1 büyüklüğünde deprem,news.google.com/./articles/CBMiOmh0dHBzOi8vaGFsa3R2LmNvbS50ci9ndW5kZW0vaGF0YXlkYS01LTFsaWstZGVwcmVtLTcxOTUyOGjSAUZodHRwczovL2hhbGt0di5jb20udHIvc2VydmljZS9hbXAvZ3VuZGVtL2hhdGF5ZGEtNS0xbGlrLWRlcHJlbS03MTk1Mjho?hl=tr&gl=TR&ceid=TR%3Atr
22,"DEPREM SON DAKİKA ÖLÜ VE YARALI SAYISI | Kahramanmaraş depreminde kaç kişi öldü, kaç kişi yaralandı ve kaç...",news.google.com/./articles/CBMiogFodHRwczovL3d3dy5oYWJlcnR1cmsuY29tL2RlcHJlbS1zb24tZGFraWthLW9sdS12ZS15YXJhbGktc2F5aXNpLTE2LXN1YmF0LTIwMjMta2FocmFtYW5tYXJhcy1kZXByZW1pbmRlLWthYy1raXNpLW9sZHUta2FjLWtpc2kteWFyYWxhbmRpLXZlLWthYy1iaW5hLWNva3R1LTM1NjYwNzTSAaQBaHR0cHM6Ly9tLmhhYmVydHVyay5jb20vZGVwcmVtLXNvbi1kYWtpa2Etb2x1LXZlLXlhcmFsaS1zYXlpc2ktMTYtc3ViYXQtMjAyMy1rYWhyYW1hbm1hcmFzLWRlcHJlbWluZGUta2FjLWtpc2ktb2xkdS1rYWMta2lzaS15YXJhbGFuZGktdmUta2FjLWJpbmEtY29rdHUtMzU2NjA3NC1hbXA?hl=tr&gl=TR&ceid=TR%3Atr
23,Kahramanmaraş'taki depremin ilk anları polis telsizinde: Anonslar felaketin büyüklüğünü gösterdi,news.google.com/./articles/CBMiigFodHRwczovL3d3dy5odXJyaXlldC5jb20udHIvZ3VuZGVtL2thaHJhbWFubWFyYXN0YWtpLWRlcHJlbWluLWlsay1hbmxhcmktcG9saXMtdGVsc2l6aW5kZS1hbm9uc2xhci1mZWxha2V0aW4tYnV5dWtsdWd1bnUtZ29zdGVyZGktNDIyMjA5OTLSAY4BaHR0cHM6Ly93d3cuaHVycml5ZXQuY29tLnRyL2FtcC9ndW5kZW0va2FocmFtYW5tYXJhc3Rha2ktZGVwcmVtaW4taWxrLWFubGFyaS1wb2xpcy10ZWxzaXppbmRlLWFub25zbGFyLWZlbGFrZXRpbi1idXl1a2x1Z3VudS1nb3N0ZXJkaS00MjIyMDk5Mg?hl=tr&gl=TR&ceid=TR%3Atr
24,Kahramanmaraş’taki deprem anı güvenlik kamerasında,news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2d1bmRlbS9rYWhyYW1hbm1hcmFzdGFraS1kZXByZW0tYW5pLWd1dmVubGlrLWthbWVyYXNpbmRhLTc1OTI4Mzgv0gFjaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyLzIwMjMvZ3VuZGVtL2thaHJhbWFubWFyYXN0YWtpLWRlcHJlbS1hbmktZ3V2ZW5saWsta2FtZXJhc2luZGEtNzU5MjgzOC9hbXAv?hl=tr&gl=TR&ceid=TR%3Atr
25,Hatay'da 5.1 büyüklüğünde deprem!,news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LmJpcmd1bi5uZXQvaGFiZXIvaGF0YXktZGEtNS0xLWJ1eXVrbHVndW5kZS1kZXByZW0tNDIxNzI30gFIaHR0cHM6Ly93d3cuYmlyZ3VuLm5ldC9hbXAvaGFiZXIvaGF0YXktZGEtNS0xLWJ1eXVrbHVndW5kZS1kZXByZW0tNDIxNzI3?hl=tr&gl=TR&ceid=TR%3Atr
26,Son Dakika: Van'da 4 büyüklüğünde deprem,news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3R1cmtpeWUvc29uLWRha2lrYS12YW5kYS00LWJ1eXVrbHVndW5kZS1kZXByZW0tMjA1MjM1M9IBWGh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL2FtcC90dXJraXllL3Nvbi1kYWtpa2EtdmFuZGEtNC1idXl1a2x1Z3VuZGUtZGVwcmVtLTIwNTIzNTM?hl=tr&gl=TR&ceid=TR%3Atr
27,Deprem bölgesinden mucize kurtuluşlar,news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3Lm50di5jb20udHIvZ2FsZXJpL3R1cmtpeWUvZGVwcmVtLWJvbGdlc2luZGVuLW11Y2l6ZS1rdXJ0dWx1c2xhcixFTnU4ZnlZSURrYWVSSUktV1VfMTVB0gFmaHR0cHM6Ly93d3cubnR2LmNvbS50ci9hbXAvZ2FsZXJpL3R1cmtpeWUvZGVwcmVtLWJvbGdlc2luZGVuLW11Y2l6ZS1rdXJ0dWx1c2xhcixFTnU4ZnlZSURrYWVSSUktV1VfMTVB?hl=tr&gl=TR&ceid=TR%3Atr
28,Deprem çantası ayağınıza takılan bir prangadır... Ezber bozan sözler: Enkazda hayat kurtaran çanta değil aldığınız pozisyon,news.google.com/./articles/CBMijAFodHRwczovL3d3dy5odXJyaXlldC5jb20udHIvZ3VuZGVtL2RlcHJlbS1jYW50YXNpLWF5YWdpbml6YS10YWtpbGFuLWJpci1wcmFuZ2FkaXItaGF5YXQta3VydGFyYW4tc2V5LWNhbnRhLWRlZ2lsLWFsZGlnaW5pei1wb3ppc3lvbi00MjIxOTk5NtIBkAFodHRwczovL3d3dy5odXJyaXlldC5jb20udHIvYW1wL2d1bmRlbS9kZXByZW0tY2FudGFzaS1heWFnaW5pemEtdGFraWxhbi1iaXItcHJhbmdhZGlyLWhheWF0LWt1cnRhcmFuLXNleS1jYW50YS1kZWdpbC1hbGRpZ2luaXotcG96aXN5b24tNDIyMTk5OTY?hl=tr&gl=TR&ceid=TR%3Atr
29,Son dakika deprem haberleri: Enkazın altında kalan 'Bircan' kurtarıldı,news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmhhYmVydHVyay5jb20vc29uLWRha2lrYS1kZXByZW0taGFiZXJsZXJpLWVua2F6aW4tYWx0aW5hLWdpcml5b3ItYmlyY2FuLWluaS1iZXNsaXlvci0zNTY2MDc50gFqaHR0cHM6Ly9tLmhhYmVydHVyay5jb20vc29uLWRha2lrYS1kZXByZW0taGFiZXJsZXJpLWVua2F6aW4tYWx0aW5hLWdpcml5b3ItYmlyY2FuLWluaS1iZXNsaXlvci0zNTY2MDc5LWFtcA?hl=tr&gl=TR&ceid=TR%3Atr
